      14     0.288897      2.00609        2828
       1      39.0523   0.00514249
       2      31.0830   0.00469142
       3      23.6834   0.00463201
       4      16.0576   0.00394003
       5      9.67001   0.00532563
       6      5.42973   0.00573993
       7      2.34023   0.00796389
       8     0.678702    0.0102555
       9    -0.148478    0.0121001
      10    -0.492418    0.0172671
      11    -0.632670    0.0179144
      12    -0.725029    0.0213249
      13    -0.783097    0.0211241
      14    -0.832312    0.0241332
